id;question;answer
c2;Software yang bersifat paten dan tidak dapat dilakukan modifikasi atau dikembangkan walaupun ada masalah dalam fungsinya disebut?;Firmware
c3;START pseudocode<br><br>SET n = 10<br>SET sum = 0<br><br>FOR i = 1 TO n<br>IF i % 3 == 0 OR i % 5 == 0 THEN<br>SET sum = sum + i<br>ENDIF<br>ENDFOR<br><br>DISPLAY sum<br><br>END pseudocode<br>Apakah output dari pseudocode diatas?;33 
c4;Ada 5 pasangan finalis dalam suatu ruangan. Jika masing-masing finalis belum saling mengenal kecuali dengan pasangannya dan mereka berjabat tangan dengan setiap orang yang belum mereka kenal, maka terjadi jabat tangan sebanyak...;40
c5;Perintah pada linux yang digunakan untuk mengubah kepemilikan file pengguna dan grup dari suatu file atau direktori adalah?;chown
d1;Metode perlindungan informasi dan komunikasi melalui penggunaan kode, sehingga hanya orang yang dituju yang dapat membaca dan memproses informasi tersebut disebut…;Kriptografi
d2;Kapasitas maksimal jalur komunikasi untuk melakukan proses pengiriman dan penerimaan data dalam satuan waktu tertentu adalah?;Bandwidth
d3;START pseudocode<br><br>SET n = 6<br>SET factorial = 1<br><br>FOR i = 1 TO n<br>SET factorial = factorial * i<br>ENDFOR<br><br>DISPLAY factorial<br><br>END pseudocode<br>Apakah output dari pseudocode diatas?;720 (benar)
d4;Suatu gedung mempunyai 5 pintu masuk. Jika tiga orang hendak memasuki gedung itu, maka banyaknya cara mereka masuk dari pintu yang berlainan adalah...;60
d5;Perintah pada linux yang digunakan untuk mengakses komputer jarak jauh melalui koneksi jaringan yang aman dan terenkripsi adalah?;ssh 
e1;Perangkat Komputer yang digunakan sebagai tempat untuk memasang atau meletakkan seluruh rangkaian sistem komputer disebut?;Motherboard
e2;Diketahui (f o g)( x) = 2x + 4 dan f(x) = x – 2. Tentukan fungsi g (x)!;g(x) = 2x + 6
e3;Perangkat lunak komputer CAD yang digunakan untuk menggambar 2 dimensi dan 3 dimensi yang dikembangkan oleh Autodesk adalah?;AutoCAD
e4;Apa fungsi dari perintah $ top pada sistem operasi linux?;Untuk melihat daftar semua proses yang sedang berjalan pada Linux
e5;Shortcut pada Microsoft Word yang digunakan untuk membuat teks menjadi normal (tanpa format) adalah?;CTRL + SHIFT + N 
e6;Tipe RAM card yang frekuensi maksimalnya 1600 MHz adalah? ;DDR3 (Double Data Rate 3)
e7;Satuan dari 4 bit data disebut dengan?;Nibble
e8;Apa saja ikon yang ada pada quick acces toolbar Microsoft Word secara default?;Save, Undo dan Redo
e9;Folder yang berisi file-file sementara yang telah dihapus dari komputer adalah?;Recycle Bin
e10;Kerangka atau sketsa yang terdiri dari kotak-kotak dan garis-garis sederhana yang digunakan untuk mengatur tata letak berbagai elemen pada website atau aplikasi disebut dengan?;Wireframe
f1;Apa istilah yang digunakan untuk menggambarkan jumlah total bit yang dapat ditransmisikan dalam suatu saluran komunikasi dalam waktu tertentu yang mengacu pada tingkat data aktual disebut?;Throughput
f2;apa istilah dalam komunikasi data yang mentransmisikan data dalam satu arah, yaitu penerima hanya mampu menerima tanpa bisa mengirim atau berinteraksi secara langsung dengan pengirim?;Simplex transmission
f3;Dari 5 orang kurir yang bekerja di jakarta akan dipilih 3 orang untuk mengirim paket ke wilayah jakarta pusat. Ada berapa cara memilih kurir tersebut?;10 cara
f4;Suatu software yang digunakan untuk menjalankan tugas-tugas maintenance, membantu jalannya proses komputer atau suatu paket program adalah?;Utility Program
f5;Perangkat keras komputer yang berfungsi untuk mengubah sinyal digital menjadi sinyal suara disebut?;Sound Card
f6;Shortcut Keys untuk masuk menu dalam MS.Word Help adalah?;F1
